# ts rotation(deg) translation(m)
366.909 4.12641 3.97327
366.909 4.12732 3.97329
366.909 4.13165 3.97315
366.909 4.13578 3.97345
366.909 4.13221 3.97382
366.909 4.13224 3.97324
366.909 4.13429 3.97313
366.909 4.13552 3.97339
366.909 4.13188 3.97299
366.909 4.13008 3.97321
366.909 4.12657 3.97309
366.909 4.12587 3.97363
366.909 4.12701 3.97287
366.909 4.13053 3.97284
366.909 4.13123 3.97325
366.909 4.13253 3.97326
366.909 4.13078 3.97354
366.909 4.12988 3.97369
366.909 4.12948 3.9738
366.909 4.12976 3.97344
366.909 4.13063 3.97319
366.909 4.1301 3.97316
366.909 4.1283 3.97313
366.909 4.13166 3.9735
366.909 4.1343 3.97423
366.909 4.13882 3.97357
366.909 4.13104 3.97421
366.909 4.13261 3.97345
366.909 4.13243 3.97273
366.909 4.12432 3.97337
366.909 4.13277 3.97237
366.909 4.12944 3.97398
366.909 4.13486 3.97346
366.909 4.13339 3.97436
366.909 4.1336 3.97404
366.909 4.13669 3.973
366.909 4.12787 3.97322
366.909 4.13384 3.97262
366.909 4.1341 3.97362
366.909 4.1297 3.97394
366.909 4.13207 3.97341
366.909 4.12838 3.97359
366.909 4.13654 3.97319
366.909 4.13562 3.97379
366.909 4.13487 3.97317
366.909 4.13982 3.97372
366.909 4.13357 3.97424
366.909 4.13677 3.97419
366.909 4.13068 3.97426
366.909 4.13563 3.97279
366.909 4.1298 3.97361
366.909 4.13391 3.97346
366.909 4.13573 3.97413
366.909 4.12892 3.97438
366.909 4.13599 3.97334
366.909 4.13617 3.97326
366.909 4.12506 3.9734
366.909 4.13147 3.97325
366.909 4.12776 3.97422
366.909 4.1355 3.97363
366.909 4.14042 3.97358
372.359 10.5528 4.94975
372.359 10.5567 4.94733
372.359 10.5539 4.94668
372.359 10.5531 4.94511
372.359 10.547 4.94375
372.359 10.539 4.94182
372.359 10.5309 4.93804
372.359 10.5117 4.935
372.359 10.4917 4.93144
372.359 10.4743 4.92532
372.359 10.4474 4.91943
372.359 10.4003 4.91377
372.359 10.347 4.90683
372.359 10.2874 4.89958
372.359 10.2189 4.88948
372.359 10.1313 4.88034
372.359 10.0402 4.87066
372.359 9.92789 4.86058
372.359 9.80415 4.8472
372.359 9.66943 4.83379
372.359 9.53765 4.81736
372.359 9.39498 4.80413
372.359 9.23195 4.78743
372.359 9.07527 4.77164
372.359 8.89331 4.75043
372.359 8.70086 4.73258
372.359 8.50287 4.7119
372.359 8.29856 4.69164
372.359 8.0914 4.66855
372.359 7.87199 4.64679
372.359 7.6658 4.62235
372.359 7.43475 4.59758
372.359 7.1955 4.57257
372.359 6.95684 4.54578
372.359 6.70672 4.51784
372.359 6.4411 4.48988
372.359 6.18751 4.46103
372.359 5.91342 4.43133
372.359 5.63147 4.40031
372.359 5.36342 4.36813
372.359 5.07291 4.33947
372.359 4.79637 4.30626
372.359 4.53904 4.27298
372.359 4.27278 4.23947
372.359 4.02577 4.20682
372.359 3.80906 4.17039
372.359 3.65066 4.13658
372.359 3.53705 4.10345
372.359 3.43838 4.0709
372.359 3.40214 4.03574
372.359 3.39609 4.00182
372.359 3.48789 3.97131
372.359 3.65641 3.93787
372.359 3.83681 3.90581
372.359 4.05577 3.87826
372.359 4.33274 3.84708
372.359 4.64603 3.82167
372.359 5.00172 3.79611
372.359 5.41539 3.77185
372.359 5.89617 3.74444
372.359 6.4936 3.71975
372.359 7.13165 3.69964
372.359 7.76367 3.68633
373.259 4.55942 4.37763
373.259 4.06751 4.31174
373.259 3.61605 4.24422
373.259 3.21993 4.18012
373.259 2.88869 4.11528
373.259 2.73154 4.04992
373.259 2.73786 3.98901
373.259 2.90665 3.92744
373.259 3.28026 3.86899
373.259 3.77361 3.81475
373.259 4.37039 3.76302
373.259 5.03617 3.7213
373.259 5.74869 3.67754
373.259 6.53294 3.64575
373.259 7.36357 3.60947
373.259 8.2072 3.58259
373.959 4.84597 4.32945
373.959 4.13704 4.23797
373.959 3.55051 4.15443
373.959 3.13907 4.06828
373.959 3.01976 3.99359
373.959 3.24154 3.91864
373.959 3.72585 3.84738
373.959 4.42601 3.78154
373.959 5.24161 3.71661
373.959 6.1256 3.66232
373.959 7.02284 3.6106
373.959 8.01246 3.56651
373.959 9.04882 3.52676
374.559 5.42016 4.35671
374.559 4.56056 4.25093
374.559 3.87474 4.15126
374.559 3.46205 4.05344
374.559 3.5156 3.96516
374.559 3.93602 3.88144
374.559 4.65866 3.80813
374.559 5.51245 3.73788
374.559 6.45963 3.67957
374.559 7.445 3.62793
374.559 8.45287 3.58459
374.559 9.50927 3.55185
375.109 4.35023 4.31212
375.109 3.86326 4.21494
375.109 3.73776 4.12086
