# ts rotation(%) translation(%)
366.909 0.0394163 0.0144109
366.909 0.0394366 0.0144239
366.909 0.0394525 0.0144542
366.909 0.039473 0.0144712
366.909 0.0394668 0.0144375
366.909 0.039471 0.0144324
366.909 0.0394796 0.0144482
366.909 0.0394841 0.0144597
366.909 0.0394593 0.0144454
366.909 0.039443 0.0144347
366.909 0.0394226 0.0143941
366.909 0.039417 0.0144163
366.909 0.0394304 0.01442
366.909 0.0385739 0.0142006
366.909 0.0385805 0.0141761
366.909 0.0385827 0.0141857
366.909 0.0385727 0.0141426
366.909 0.038569 0.0141646
366.909 0.0385635 0.0141687
366.909 0.0385711 0.0141793
366.909 0.0385665 0.0141777
366.909 0.0385746 0.0141615
366.909 0.0385687 0.0141496
366.909 0.0385851 0.0141677
366.909 0.038603 0.0141496
366.909 0.0386152 0.0142369
366.909 0.0385955 0.0141326
366.909 0.0385917 0.0141757
366.909 0.0385863 0.0141782
366.909 0.0385483 0.0141094
366.909 0.0385789 0.0141817
366.909 0.03858 0.0141185
366.909 0.0386073 0.0141758
366.909 0.0385989 0.0141465
366.909 0.0386114 0.0141517
366.909 0.0388874 0.0142419
366.909 0.0388376 0.0141765
366.909 0.0388705 0.0142432
366.909 0.0388893 0.0142306
366.909 0.0388591 0.0142141
366.909 0.0388624 0.0142385
366.909 0.038839 0.0141833
366.909 0.0388924 0.014257
366.909 0.0388978 0.0142195
366.909 0.0388891 0.0142354
366.909 0.0389098 0.0142335
366.909 0.0388688 0.0141984
366.909 0.0388839 0.0142482
366.909 0.0388597 0.0142105
366.909 0.0388764 0.014254
366.909 0.0388475 0.0141842
366.909 0.0388608 0.0141954
366.909 0.0388692 0.0142132
366.909 0.0388383 0.0141836
366.909 0.0388874 0.0142149
366.909 0.0388813 0.014189
366.909 0.0388082 0.0141203
366.909 0.0388428 0.0141335
366.909 0.0448974 0.0145716
366.909 0.044935 0.0145962
366.909 0.0449799 0.014586
372.359 0.0771268 0.10198
372.359 0.0771688 0.102016
372.359 0.0771448 0.101989
372.359 0.0771167 0.101964
372.359 0.0770514 0.101886
372.359 0.0769769 0.101815
372.359 0.0768657 0.101683
372.359 0.0766879 0.101512
372.359 0.076568 0.101532
372.359 0.0763686 0.101303
372.359 0.076081 0.101006
372.359 0.0756451 0.100661
372.359 0.0751392 0.100156
372.359 0.0744172 0.0994625
372.359 0.0737437 0.0988133
372.359 0.0728863 0.0979734
372.359 0.132188 0.099437
372.359 0.131081 0.0983733
372.359 0.130017 0.0969199
372.359 0.128666 0.0956151
372.359 0.127185 0.094329
372.359 0.125621 0.0927904
372.359 0.117666 0.0909483
372.359 0.116109 0.0894233
372.359 0.114562 0.0878302
372.359 0.112483 0.0858298
372.359 0.104384 0.0836313
372.359 0.102511 0.0814333
372.359 0.100377 0.079351
372.359 0.0980257 0.0772486
372.359 0.0893811 0.0746472
372.359 0.0871109 0.0721617
372.359 0.084571 0.0699557
372.359 0.0758109 0.0671297
372.359 0.0720676 0.0672314
372.359 0.0630846 0.0641327
372.359 0.0622117 0.062875
372.359 0.0590959 0.059897
372.359 0.0498872 0.0568487
372.359 0.0467314 0.0532764
372.359 0.0370347 0.0505344
372.359 0.0335003 0.0470301
372.359 0.028749 0.0436341
372.359 0.0280404 0.039678
372.359 0.0337539 0.0359186
372.359 0.0333419 0.0320958
372.359 0.0598608 0.0313163
372.359 0.0563259 0.026099
372.359 0.0464102 0.021673
372.359 0.037018 0.0176227
372.359 0.0342945 0.0139141
372.359 0.0255474 0.0106065
372.359 0.0167594 0.00897954
372.359 0.0153603 0.0101088
372.359 0.017242 0.0125552
372.359 0.0275755 0.0176637
372.359 0.0326234 0.0229192
372.359 0.043624 0.0283242
372.359 0.0546139 0.0347999
372.359 0.0601283 0.0403418
372.359 0.0720955 0.0468263
372.359 0.0848368 0.0511955
372.359 0.0423199 0.0515839
373.259 0.0795953 0.0557026
373.259 0.0678614 0.0491369
373.259 0.0563155 0.0420081
373.259 0.0449976 0.0348571
373.259 0.0329023 0.0259608
373.259 0.0222423 0.018837
373.259 0.017774 0.0124022
373.259 0.017866 0.00801716
373.259 0.0252504 0.00894367
373.259 0.0364695 0.0159321
373.259 0.0483131 0.024754
373.259 0.0610427 0.0329108
373.259 0.0367317 0.0362924
373.259 0.0334534 0.0423526
373.259 0.0417192 0.0507837
373.259 0.0553747 0.0599439
373.959 0.0616705 0.0563524
373.959 0.0486583 0.0470137
373.959 0.0363293 0.0370751
373.959 0.0243147 0.0263014
373.959 0.0188085 0.0165681
373.959 0.0238975 0.00935691
373.959 0.0319757 0.0113479
373.959 0.0445455 0.0207212
373.959 0.0348578 0.0260928
373.959 0.0318683 0.0351494
373.959 0.0351504 0.043791
373.959 0.0483776 0.0543416
373.959 0.0630866 0.0662097
374.559 0.0601154 0.0568904
374.559 0.0474886 0.0448287
374.559 0.0337361 0.033254
374.559 0.0205914 0.0203725
374.559 0.0156486 0.0100641
374.559 0.0226866 0.0113218
374.559 0.0347357 0.0215322
374.559 0.04796 0.0333039
374.559 0.0291733 0.0377037
374.559 0.0406937 0.0488229
374.559 0.0560168 0.0581898
374.559 0.0691778 0.0693387
375.109 0.0414071 0.0419283
375.109 0.0305515 0.0308531
375.109 0.0213371 0.0205061
375.109 0.0167284 0.0116511
375.109 0.0198936 0.0126652
375.109 0.028342 0.0209805
375.109 0.0371577 0.0309399
375.109 0.0304815 0.0335679
375.109 0.0391001 0.0428308
375.109 0.049084 0.0484979
375.109 0.0576412 0.0574878
375.659 0.0314148 0.0308178
375.659 0.0272091 0.0233432
375.659 0.0217318 0.0164253
375.659 0.0191965 0.0117768
375.659 0.0200855 0.0130988
375.659 0.0243987 0.0191502
375.659 0.0286951 0.0264152
375.659 0.0237366 0.0271518
375.659 0.0290122 0.0326434
375.659 0.0347887 0.034838
375.659 0.0392793 0.0410917
376.209 0.0273013 0.0248939
376.209 0.0245195 0.0199487
376.209 0.0231069 0.0155533
376.209 0.0225942 0.014059
376.209 0.0228036 0.0150596
376.209 0.023843 0.0194143
376.209 0.0257513 0.0243598
376.209 0.0243658 0.0233387
